Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
8779-QRDMV,Male,78,No,Yes,No,No,0
7495-OOKFY,Female,74,No,Yes,Yes,Yes,1
1658-BYGOY,Male,71,No,Yes,No,Yes,3
4598-XLKNJ,Female,78,No,Yes,Yes,Yes,1
4846-WHAFZ,Female,80,No,Yes,Yes,Yes,1
4412-YLTKF,Female,72,No,Yes,No,Yes,1
0390-DCFDQ,Female,76,No,Yes,Yes,Yes,2
3445-HXXGF,Male,66,No,Yes,Yes,No,0
2656-FMOKZ,Female,70,No,Yes,No,Yes,2
2070-FNEXE,Female,77,No,Yes,No,Yes,2
0094-OIFMO,Female,78,No,Yes,No,Yes,1
9947-OTFQU,Male,65,No,Yes,No,No,0
9514-JDSKI,Male,77,No,Yes,Yes,No,0
7273-TEFQD,Male,67,No,Yes,No,No,0
3606-TWKGI,Male,68,No,Yes,No,No,0
4385-GZQXV,Female,68,No,Yes,No,No,0
3488-PGMQJ,Male,66,No,Yes,No,No,0
7534-BFESC,Male,69,No,Yes,No,No,0
8098-LLAZX,Female,74,No,Yes,No,No,0
0265-EDXBD,Male,76,No,Yes,Yes,No,0
2840-XANRC,Male,77,No,Yes,Yes,No,0
5020-ZSTTY,Female,70,No,Yes,No,No,0
5804-LEPIM,Female,74,No,Yes,No,No,0
0623-IIHUG,Female,77,No,Yes,No,No,0
9057-MSWCO,Male,71,No,Yes,Yes,No,0
4895-TMWIR,Male,79,No,Yes,Yes,No,0
0533-BNWKF,Female,66,No,Yes,Yes,No,0
0334-GDDSO,Male,77,No,Yes,No,No,0
5564-NEMQO,Female,80,No,Yes,No,No,0
6235-VDHOM,Female,77,No,Yes,No,No,0
5609-CEBID,Female,77,No,Yes,No,No,0
5956-VKDTT,Female,72,No,Yes,Yes,No,0
0257-ZESQC,Female,80,No,Yes,Yes,No,0
2865-TCHJW,Female,74,No,Yes,No,No,0
5192-EBGOV,Female,68,No,Yes,No,No,0
3419-SNJJD,Female,78,No,Yes,Yes,No,0
4554-YGZIH,Male,75,No,Yes,Yes,No,0
5099-BAILX,Male,77,No,Yes,Yes,No,0
4913-EHYUI,Male,80,No,Yes,Yes,No,0
1626-ERCMM,Male,75,No,Yes,Yes,No,0
5644-PDMZC,Female,69,No,Yes,No,No,0
4160-AMJTL,Female,74,No,Yes,No,No,0
0823-HSCDJ,Male,76,No,Yes,No,No,0
0067-DKWBL,Male,69,No,Yes,No,No,0
5244-IRFIH,Male,72,No,Yes,Yes,No,0
2684-EIWEO,Female,69,No,Yes,No,No,0
6683-VLCTZ,Male,73,No,Yes,No,No,0
0691-IFBQW,Female,65,No,Yes,No,No,0
3643-AHCFP,Male,74,No,Yes,Yes,No,0
9231-ZJYAM,Female,65,No,Yes,No,No,0
0727-BMPLR,Female,66,No,Yes,No,No,0
0947-MUGVO,Male,71,No,Yes,Yes,No,0
0781-LKXBR,Male,65,No,Yes,No,No,0
1907-UBQFC,Male,69,No,Yes,No,No,0
6513-EECDB,Male,75,No,Yes,Yes,No,0
7074-IEVOJ,Female,75,No,Yes,No,No,0
4750-ZRXIU,Female,68,No,Yes,No,No,0
7028-DVOIQ,Male,71,No,Yes,No,No,0
4208-UFFGW,Male,80,No,Yes,No,No,0
9889-TMAHG,Male,66,No,Yes,No,No,0
8919-FYFQZ,Male,73,No,Yes,Yes,No,0
6646-QVXLR,Male,77,No,Yes,Yes,No,0
9369-XFEHK,Female,76,No,Yes,Yes,No,0
1374-DMZUI,Female,65,No,Yes,No,No,0
1989-PRJHP,Male,75,No,Yes,Yes,No,0
4822-RVYBB,Male,75,No,Yes,No,No,0
4184-TJFAN,Female,68,No,Yes,Yes,No,0
4145-UQXUQ,Female,71,No,Yes,No,No,0
1236-WFCDV,Male,74,No,Yes,No,No,0
1271-SJBGZ,Male,77,No,Yes,No,No,0
4441-NIHPT,Female,73,No,Yes,No,No,0
8999-BOHSE,Female,68,No,Yes,No,No,0
7029-RPUAV,Male,74,No,Yes,Yes,No,0
8111-SLLHI,Male,65,No,Yes,Yes,No,0
5293-WXJAK,Female,73,No,Yes,Yes,No,0
4086-YQSNZ,Female,74,No,Yes,Yes,No,0
8399-YNDCH,Male,80,No,Yes,No,No,0
5565-FILXA,Female,76,No,Yes,No,No,0
4187-CINZD,Female,73,No,Yes,No,No,0
6818-WOBHJ,Female,70,No,Yes,Yes,No,0
9134-CEQMF,Male,75,No,Yes,Yes,No,0
8519-IMDHU,Male,74,No,Yes,Yes,No,0
3372-KWFBM,Male,76,No,Yes,No,No,0
7206-GZCDC,Female,75,No,Yes,No,No,0
1768-ZAIFU,Female,74,No,Yes,No,No,0
3793-MMFUH,Female,73,No,Yes,No,No,0
6567-HOOPW,Female,69,No,Yes,No,No,0
8621-MNIHH,Female,75,No,Yes,Yes,No,0
5419-CONWX,Female,65,No,Yes,No,No,0
7024-OHCCK,Female,77,No,Yes,No,No,0
5357-TZHPP,Male,67,No,Yes,No,No,0
0506-LVNGN,Female,78,No,Yes,No,No,0
9809-IMGCQ,Male,65,No,Yes,No,No,0
3254-YRILK,Male,74,No,Yes,No,No,0
0529-ONKER,Male,70,No,Yes,No,No,0
5240-IJOQT,Male,69,No,Yes,No,No,0
0661-XEYAN,Female,76,No,Yes,No,No,0
2660-EMUBI,Male,71,No,Yes,No,No,0
7675-OZCZG,Female,76,No,Yes,No,No,0
9391-EOYLI,Male,77,No,Yes,Yes,No,0
2761-OCIAX,Male,74,No,Yes,No,No,0
3068-OMWZA,Male,77,No,Yes,No,No,0
4154-AQUGT,Male,76,No,Yes,Yes,No,0
8017-LXHFA,Female,77,No,Yes,No,No,0
4248-QPAVC,Female,80,No,Yes,Yes,No,0
4690-LLKUA,Male,68,No,Yes,No,No,0
9490-DFPMD,Female,79,No,Yes,No,No,0
8580-AECUZ,Male,65,No,Yes,No,No,0
5047-LHVLY,Male,68,No,Yes,No,No,0
8375-DKEBR,Female,72,No,Yes,No,No,0
7279-BUYWN,Female,66,No,Yes,No,No,0
7156-MHUGY,Male,68,No,Yes,No,No,0
9606-PBKBQ,Male,69,No,Yes,Yes,No,0
3536-IQCTX,Male,76,No,Yes,Yes,No,0
3132-TVFDZ,Male,70,No,Yes,Yes,No,0
8080-DDEMJ,Male,71,No,Yes,No,No,0
6702-OHFWR,Male,75,No,Yes,No,No,0
4510-PYUSH,Female,67,No,Yes,No,No,0
8840-DQLGN,Female,65,No,Yes,Yes,No,0
4193-ORFCL,Female,80,No,Yes,No,No,0
7776-QWNFX,Male,71,No,Yes,Yes,No,0
6689-TCZHQ,Female,70,No,Yes,No,No,0
9497-QCMMS,Male,73,No,Yes,No,No,0
3424-NMNBO,Male,78,No,Yes,Yes,No,0
4514-GFCFI,Female,76,No,Yes,No,No,0
8000-REIQB,Female,73,No,Yes,No,No,0
4795-KTRTH,Female,68,No,Yes,Yes,No,0
9961-JBNMK,Male,79,No,Yes,No,No,0
6179-GJPSO,Female,67,No,Yes,No,No,0
8290-YWKHZ,Female,69,No,Yes,Yes,No,0
8051-HJRLT,Female,72,No,Yes,No,No,0
4021-RQSNY,Male,75,No,Yes,Yes,No,0
9061-TIHDA,Male,67,No,Yes,Yes,No,0
8699-ASUFO,Male,72,No,Yes,Yes,No,0
4695-WJZUE,Female,68,No,Yes,No,No,0
3988-RQIXO,Female,68,No,Yes,No,No,0
5931-FLJJF,Male,75,No,Yes,Yes,No,0
3207-OYBWH,Male,74,No,Yes,Yes,No,0
7216-EWTRS,Female,78,No,Yes,Yes,No,0
2528-HFYZX,Male,66,No,Yes,Yes,No,0
4140-MUHUG,Female,73,No,Yes,No,No,0
1587-FKLZB,Male,79,No,Yes,Yes,No,0
5440-FLBQG,Male,69,No,Yes,Yes,No,0
2774-LVQUS,Female,65,No,Yes,Yes,No,0
4612-THJBS,Female,68,No,Yes,No,No,0
4094-NSEDU,Female,79,No,Yes,No,No,0
1846-XWOQN,Female,80,No,Yes,No,No,0
3757-NJYBX,Male,77,No,Yes,Yes,No,0
9898-KZQDZ,Female,65,No,Yes,Yes,No,0
8263-JQAIK,Male,66,No,Yes,No,No,0
2205-YMZZJ,Male,75,No,Yes,No,No,0
1254-IZEYF,Female,74,No,Yes,No,No,0
9221-OTIVJ,Female,80,No,Yes,No,No,0
5908-QMGOE,Male,74,No,Yes,No,No,0
0397-GZBBC,Male,70,No,Yes,Yes,No,0
7641-EUYET,Male,76,No,Yes,Yes,No,0
8922-LIEGH,Female,72,No,Yes,No,No,0
8245-UMPYT,Female,66,No,Yes,No,No,0
5186-SAMNZ,Male,75,No,Yes,No,No,0
5373-SFODM,Male,65,No,Yes,Yes,No,0
0022-TCJCI,Male,79,No,Yes,No,No,0
5130-IEKQT,Male,73,No,Yes,No,No,0
3269-ATYWD,Male,79,No,Yes,No,No,0
0354-WYROK,Female,70,No,Yes,Yes,No,0
7576-OYWBN,Male,71,No,Yes,No,No,0
5539-TMZLF,Male,69,No,Yes,No,No,0
3336-JORSO,Female,70,No,Yes,No,No,0
6861-XWTWQ,Male,71,No,Yes,Yes,No,0
4283-FUTGF,Male,67,No,Yes,No,No,0
2397-BRLOM,Male,67,No,Yes,Yes,No,0
8510-AWCXC,Female,69,No,Yes,No,No,0
8225-BTJAU,Male,75,No,Yes,No,No,0
1724-BQUHA,Male,67,No,Yes,No,No,0
4826-XTSOH,Male,66,No,Yes,Yes,No,0
2408-WITXK,Female,67,No,Yes,No,No,0
2634-HCZGT,Male,71,No,Yes,Yes,No,0
7503-QQRVF,Male,74,No,Yes,Yes,No,0
0709-TVGUR,Female,70,No,Yes,No,No,0
3001-CBHLQ,Male,76,No,Yes,Yes,No,0
4102-OQUPX,Male,67,No,Yes,Yes,No,0
3999-QGRJH,Male,80,No,Yes,No,No,0
2454-RPBRZ,Female,67,No,Yes,Yes,No,0
2265-CYWIV,Female,68,No,Yes,Yes,No,0
4550-VBOFE,Male,69,No,Yes,Yes,No,0
7409-KIUTL,Female,80,No,Yes,No,No,0
1732-VHUBQ,Female,73,No,Yes,Yes,No,0
0679-IDSTG,Female,73,No,Yes,Yes,No,0
8802-UNOJF,Male,65,No,Yes,No,No,0
6313-GIDIT,Male,73,No,Yes,No,No,0
2845-AFFTX,Male,78,No,Yes,Yes,No,0
2815-CPTUL,Male,68,No,Yes,No,No,0
1891-FZYSA,Male,65,No,Yes,Yes,No,0
9685-WKZGT,Male,67,No,Yes,No,No,0
6022-UGGSO,Female,70,No,Yes,No,No,0
3923-CSIHK,Female,69,No,Yes,Yes,No,0
3677-IYRBF,Female,73,No,Yes,No,No,0
8118-LSUEL,Male,74,No,Yes,No,No,0
5277-ZLOOR,Female,78,No,Yes,No,No,0
4248-HCETZ,Male,77,No,Yes,Yes,No,0
9174-FKWZE,Female,70,No,Yes,No,No,0
5307-DZCVC,Female,78,No,Yes,Yes,No,0
8679-JOEVF,Female,75,No,Yes,No,No,0
4803-AXVYP,Female,75,No,Yes,No,No,0
5649-ANRML,Male,76,No,Yes,No,No,0
7395-IGJOS,Male,70,No,Yes,Yes,No,0
7890-VYYWG,Male,67,No,Yes,Yes,No,0
9907-SWKKF,Female,69,No,Yes,No,No,0
6397-JNZZG,Female,70,No,Yes,Yes,No,0
7779-LGOVN,Male,74,No,Yes,Yes,No,0
9710-ZUSHQ,Female,77,No,Yes,No,No,0
3902-FOIGH,Male,66,No,Yes,Yes,No,0
3318-OSATS,Male,70,No,Yes,No,No,0
2636-ALXXZ,Female,68,No,Yes,No,No,0
9885-CSMWE,Female,65,No,Yes,No,No,0
8058-JMEQO,Female,76,No,Yes,No,No,0
7657-DYEPJ,Male,73,No,Yes,No,No,0
8276-MQBYC,Male,70,No,Yes,No,No,0
6015-VVHHE,Female,68,No,Yes,No,No,0
2516-VQRRV,Female,77,No,Yes,No,No,0
7580-UGXNC,Female,73,No,Yes,No,No,0
5178-LMXOP,Male,71,No,Yes,Yes,No,0
7056-IMHCC,Male,69,No,Yes,Yes,No,0
8749-JMNKX,Male,80,No,Yes,Yes,No,0
0917-EZOLA,Male,66,No,Yes,Yes,No,0
8414-MYSHR,Male,79,No,Yes,No,No,0
4988-IQIGL,Male,80,No,Yes,No,No,0
4706-AXVKM,Female,78,No,Yes,No,No,0
5889-JTMUL,Female,67,No,Yes,Yes,No,0
9026-RNUJS,Male,73,No,Yes,No,No,0
1624-NALOJ,Male,75,No,Yes,No,No,0
6210-KBBPI,Male,67,No,Yes,No,No,0
2260-USTRB,Female,75,No,Yes,No,No,0
8623-TMRBY,Male,80,No,Yes,Yes,No,0
6900-PXRMS,Male,72,No,Yes,Yes,No,0
3346-BRMIS,Female,70,No,Yes,Yes,No,0
2722-JMONI,Female,73,No,Yes,Yes,No,0
7579-OOPEC,Female,75,No,Yes,Yes,No,0
1771-OADNZ,Male,70,No,Yes,Yes,No,0
0612-RTZZA,Female,77,No,Yes,No,No,0
4433-JCGCG,Male,80,No,Yes,Yes,No,0
9488-HGMJH,Female,78,No,Yes,No,No,0
4818-QIUFN,Female,69,No,Yes,No,No,0
6961-VCPMC,Male,71,No,Yes,Yes,No,0
4424-TKOPW,Male,70,No,Yes,No,No,0
4201-JMNGR,Female,66,No,Yes,No,No,0
1866-RZZQS,Male,77,No,Yes,No,No,0
8631-NBHFZ,Male,71,No,Yes,Yes,No,0
4958-XCBDQ,Male,68,No,Yes,No,No,0
8337-UPOAQ,Male,71,No,Yes,Yes,No,0
6712-OAWRH,Female,79,No,Yes,No,No,0
5914-DVBWJ,Female,80,No,Yes,No,No,0
8644-XLFBW,Male,65,No,Yes,No,No,0
1833-VGRUM,Female,70,No,Yes,No,No,0
8374-XGEJJ,Male,68,No,Yes,Yes,No,0
6946-LMSQS,Male,80,No,Yes,Yes,No,0
4039-HEUNW,Male,77,No,Yes,Yes,No,0
0812-WUPTB,Male,65,No,Yes,Yes,No,0
2403-BCASL,Male,66,No,Yes,Yes,No,0
3871-IKPYH,Male,70,No,Yes,No,No,0
